num,abrangencia,classificacao,modalidade,etapa,fase,licenca,documento,doc_id,descricao,atualizacoes,aplicabilidade,esfera,norma_referencia,vigente,data_ultima_verificacao
1.0,Estadual/Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Estudo geotecnico de sondagens (minimo por m2 ou hectare),EST_GEOT,"Sondagens SPT/mistas/rotativas com densidade minima conforme PL 3799/2024, NRM-19 e NBR 13028-3",previa,Obrigatorio para todas as pilhas,federal_anm+federal_pl,PL 3799/2024 Art.58-A; NRM-19; NBR 13028-3,sim,2026-04-18
2.0,Estadual/Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Estudo hidrologico com series historicas 20 anos e projecoes climaticas,EST_HIDRO,Serie historica minima 20 anos + projecoes climaticas (modelos atuais) para dimensionamento de chuva de projeto,anual,Obrigatorio para todas as pilhas,federal_pl+abnt,PL 3799/2024 Art.58-A V; NBR 13028-3,sim,2026-04-18
3.0,Estadual/Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,"Estudo hidrogeologico (lencol freatico, desvios, bacia subterranea)",EST_HGEO,"Identificacao e detalhamento do lencol freatico, desvios de cursos d'agua, permeabilidade da fundacao",previa,Obrigatorio,federal_anm+federal_pl,NRM-19; PL 3799/2024 Art.58-B V,sim,2026-04-18
4.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Estudo de sismicidade local,EST_SISM,Analise de risco sismico com base em carta sismica regional,previa,Obrigatorio; novo pelo PL 3799/2024,federal_pl+abnt,PL 3799/2024 Art.58-B III; NBR 13028-3,sim,2026-04-18
5.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Analise de fundacao e grau de confinamento,AN_FUND,"Tipo de fundacao (rocha, solo residual, aluviao) + grau de confinamento da massa",previa,Obrigatorio; requisito novo PL 3799/2024,federal_pl+abnt,PL 3799/2024 Art.58-B I; NBR 13028-3,sim,2026-04-18
6.0,Internacional,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Classificacao de consequencia da pilha (extreme/very high/high/significant/low),CLASS_CONS,Classificacao obrigatoria pelo GISTM Princ. 6 e compatibilizacao com Brasil (CRI),bienal,Obrigatorio para empresas ICMM; boa pratica para demais,internacional,GISTM Principio 6; ICMM 2025,sim,2026-04-18
7.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Projeto preliminar (geometria: altura x volume + inclinacao + bermas),PROJ_PRELIM,"Geometria geral da pilha com alturas, volumes, inclinacoes e bermas",revisao a cada ampliacao,Obrigatorio,federal_pl+abnt,PL 3799/2024 Art.58-A I; NBR 13028-3,sim,2026-04-18
8.0,Estadual/Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LI,Projeto executivo completo com ART,PROJ_EXEC,Projeto detalhado com Anotacao de Responsabilidade Tecnica,por revisao,Obrigatorio,federal_pl+estadual_pl,PL 2519/2024 MG Art.1; PL 3799/2024; NBR 13028-3,sim,2026-04-18
9.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LI,Memorial descritivo e especificacoes construtivas,MEM_DESC,"Especificacoes de camadas (espessura, inclinacao, compactacao), anisotropia, bordas livres",por revisao,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
10.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LI,Projeto de drenagem interna (TR 100 anos),PROJ_DRENI,Sistemas internos considerando deformacoes esperadas e anisotropia,por revisao,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
