requisito_id,tipo,licenca,documento,modulo,topico,teste_aderencia,evidencia_esperada,peso,impacto,norma_origem,artigo_referencia,aplicabilidade_uf,data_mapeamento
R.01,Normativa,LAS - Cadastro,Cadastro via SEI,,,,,,,,,MG,2024-01-01
R.02,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.1 – Identificação do Empreendedor,Os dados do empreendedor estão completos e organizados conforme o TR?,a) Razão social / Nome,,,,,MG,2024-01-01
R.03,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.1 – Identificação do Empreendedor,Os dados do empreendedor estão completos e organizados conforme o TR?,b) Nome fantasia,,,,,MG,2024-01-01
R.04,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.1 – Identificação do Empreendedor,Os dados do empreendedor estão completos e organizados conforme o TR?,c) CNPJ/CPF e inscrição estadual,,,,,MG,2024-01-01
R.05,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.1 – Identificação do Empreendedor,Os dados do empreendedor estão completos e organizados conforme o TR?,d) Cargo ou função,,,,,MG,2024-01-01
R.06,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.2 – Identificação do Empreendimento,O empreendimento está corretamente identificado?,a) Razão social / Nome,,,,,MG,2024-01-01
R.07,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.2 – Identificação do Empreendimento,O empreendimento está corretamente identificado?,b) Nome fantasia,,,,,MG,2024-01-01
R.08,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.2 – Identificação do Empreendimento,O empreendimento está corretamente identificado?,c) CNPJ e inscrição estadual,,,,,MG,2024-01-01
R.09,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.2 – Identificação do Empreendimento,O empreendimento está corretamente identificado?,d) Certificado de Cadastro de Imóvel Rural (CCIR),,,,,MG,2024-01-01
R.10,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.3 – Responsável Legal,Os dados do responsável legal estão preenchidos integralmente?,a) Nome completo,,,,,MG,2024-01-01
R.11,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.3 – Responsável Legal,Os dados do responsável legal estão preenchidos integralmente?,b) Cargo/função,,,,,MG,2024-01-01
R.12,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.3 – Responsável Legal,Os dados do responsável legal estão preenchidos integralmente?,c) Telefone,,,,,MG,2024-01-01
R.13,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.3 – Responsável Legal,Os dados do responsável legal estão preenchidos integralmente?,d) Email,,,,,MG,2024-01-01
R.14,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.4 – Empresa Responsável pela Elaboração do RAS,As informações da consultoria ou profissionais autônomos foram registradas conforme exigido?,a) Identificação da empresa ou opção por profissional autônomo,,,,,MG,2024-01-01
R.15,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.4 – Empresa Responsável pela Elaboração do RAS,As informações da consultoria ou profissionais autônomos foram registradas conforme exigido?,"b) Dados cadastrais (Razão Social, CNPJ/CPF, IE, email)",,,,,MG,2024-01-01
R.16,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.4 – Empresa Responsável pela Elaboração do RAS,As informações da consultoria ou profissionais autônomos foram registradas conforme exigido?,c) Número no CTF/AIDA-IBAMA,,,,,MG,2024-01-01
R.17,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.4 – Empresa Responsável pela Elaboração do RAS,As informações da consultoria ou profissionais autônomos foram registradas conforme exigido?,d) ART(s) e profissionais listados no item 1.4.1,,,,,MG,2024-01-01
R.18,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.5 – Informações do Processo Minerário (ANM),Os dados do processo minerário foram apresentados?,a) Titular do processo,,,,,MG,2024-01-01
R.19,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.5 – Informações do Processo Minerário (ANM),Os dados do processo minerário foram apresentados?,b) Número do processo,,,,,MG,2024-01-01
R.20,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.5 – Informações do Processo Minerário (ANM),Os dados do processo minerário foram apresentados?,c) Fase do processo,,,,,MG,2024-01-01
R.21,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.5 – Informações do Processo Minerário (ANM),Os dados do processo minerário foram apresentados?,"d) Área, substância(s) mineral(is)",,,,,MG,2024-01-01
R.22,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.6 – Coordenadas do Empreendimento,As coordenadas estão completas no padrão SIRGAS 2000?,a) Coordenadas geográficas (Grau/Minuto/Segundo),,,,,MG,2024-01-01
R.23,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.6 – Coordenadas do Empreendimento,As coordenadas estão completas no padrão SIRGAS 2000?,b) Coordenadas UTM (X e Y),,,,,MG,2024-01-01
R.24,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.6 – Coordenadas do Empreendimento,As coordenadas estão completas no padrão SIRGAS 2000?,c) Indicação do fuso,,,,,MG,2024-01-01
R.25,,,LAS_RAS,MÓDULO 1 — IDENTIFICAÇÃO,Tópico 1.6 – Coordenadas do Empreendimento,As coordenadas estão completas no padrão SIRGAS 2000?,d) Formato SIRGAS 2000 conforme TR,,,,,MG,2024-01-01
R.26,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.1 – Atividade(s) objeto do RAS,As atividades foram transcritas corretamente da DN 217/2017?,a) Código da atividade,,,,,MG,2024-01-01
R.27,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.1 – Atividade(s) objeto do RAS,As atividades foram transcritas corretamente da DN 217/2017?,b) Descrição conforme DN,,,,,MG,2024-01-01
R.28,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.1 – Atividade(s) objeto do RAS,As atividades foram transcritas corretamente da DN 217/2017?,c) Parâmetro e unidade de porte,,,,,MG,2024-01-01
R.29,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.1 – Atividade(s) objeto do RAS,As atividades foram transcritas corretamente da DN 217/2017?,d) Quantidade e estágio atual,,,,,MG,2024-01-01
R.30,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.2 – Critério Locacional (DN 217/2017),Há indicação correta sobre incidência de critérios locacionais?,a) Indicação sobre incidência ou não,,,,,MG,2024-01-01
R.31,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.2 – Critério Locacional (DN 217/2017),Há indicação correta sobre incidência de critérios locacionais?,"b) Lista dos critérios, quando existirem",,,,,MG,2024-01-01
R.32,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.2 – Critério Locacional (DN 217/2017),Há indicação correta sobre incidência de critérios locacionais?,c) Baseados na Tabela 4,,,,,MG,2024-01-01
R.33,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.2 – Critério Locacional (DN 217/2017),Há indicação correta sobre incidência de critérios locacionais?,"d) Encaminhamento para item 2.2.1, se aplicável",,,,,MG,2024-01-01
